subject_id,block,success,stability,start,final
13,1,true,attack,2.06,5.8
13,2,true,attack,2.06,4.9
22,1,false,,,
22,2,true,topdown,4.0600000000000005,7.2
27,1,true,topdown,2.06,4.4
27,2,true,attack,0.06000000000000005,2.0
33,1,false,,,
33,2,true,topdown,2.46,4.9
34,1,true,attack,2.06,4.5
34,2,true,attack,3.56,5.9
37,1,true,attack,1.06,3.0
37,2,true,attack,0.56,2.4
49,1,true,attack,3.06,5.0
49,2,true,topdown,5.0600000000000005,7.5
50,1,true,topdown,2.06,7.5
50,2,true,topdown,5.5600000000000005,9.0
64,1,true,attack,1.56,5.2
64,2,true,topdown,2.06,5.2
70,1,true,attack,0.56,2.7
70,2,false,,,
80,1,true,bottomup,3.56,11.0
80,2,false,,,
83,1,true,attack,2.06,4.7
83,2,true,attack,1.8599999999999999,4.5
88,1,true,attack,1.06,7.0600000000000005
88,2,true,attack,1.56,6.7
90,1,false,attack,,
90,2,true,attack,2.96,5.8
