subject,block,task,trial,success
13,1,LegatoAsc,1,true
13,1,LegatoDesc,1,true
13,1,NonlegatoAsc,1,true
13,1,NonlegatoDesc,1,true
13,1,Overtone,2,false
13,2,LegatoAsc,1,true
13,2,LegatoDesc,1,true
13,2,NonlegatoAsc,1,true
13,2,NonlegatoDesc,1,true
13,2,Overtone,3,true
22,1,LegatoAsc,5,true
22,1,LegatoDesc,1,true
22,1,NonlegatoAsc,2,true
22,1,NonlegatoDesc,1,true
22,1,Overtone,3,true
22,2,LegatoAsc,2,false
22,2,LegatoDesc,1,true
22,2,NonlegatoAsc,1,true
22,2,NonlegatoDesc,1,true
22,2,Overtone,1,true
27,1,LegatoAsc,2,false
27,1,LegatoDesc,1,true
27,1,NonlegatoAsc,1,true
27,1,NonlegatoDesc,1,false
27,1,Overtone,1,true
27,2,LegatoAsc,3,true
27,2,LegatoDesc,1,true
27,2,NonlegatoAsc,1,true
27,2,NonlegatoDesc,1,true
27,2,Overtone,2,true
33,1,LegatoAsc,5,true
33,1,LegatoDesc,2,true
33,1,NonlegatoAsc,1,true
33,1,NonlegatoDesc,1,true
33,1,Overtone,3,true
33,2,LegatoAsc,1,false
33,2,LegatoDesc,1,false
33,2,NonlegatoAsc,1,true
33,2,NonlegatoDesc,1,true
33,2,Overtone,1,false
34,1,LegatoAsc,3,false
34,1,LegatoDesc,1,true
34,1,NonlegatoAsc,1,false
34,1,NonlegatoDesc,1,false
34,1,Overtone,1,true
34,2,LegatoAsc,1,true
34,2,LegatoDesc,1,false
34,2,NonlegatoAsc,1,false
34,2,NonlegatoDesc,1,false
34,2,Overtone,2,true
37,1,LegatoAsc,3,true
37,1,LegatoDesc,1,true
37,1,NonlegatoAsc,1,true
37,1,NonlegatoDesc,1,true
37,1,Overtone,1,true
37,2,LegatoAsc,4,true
37,2,LegatoDesc,1,true
37,2,NonlegatoAsc,1,true
37,2,NonlegatoDesc,1,true
37,2,Overtone,1,true
49,1,LegatoAsc,8,true
49,1,LegatoDesc,1,true
49,1,NonlegatoAsc,1,true
49,1,NonlegatoDesc,1,true
49,1,Overtone,1,true
49,2,LegatoAsc,3,true
49,2,LegatoDesc,2,true
49,2,NonlegatoAsc,3,true
49,2,NonlegatoDesc,1,true
49,2,Overtone,1,true
50,1,LegatoAsc,1,true
50,1,LegatoDesc,1,true
50,1,NonlegatoAsc,1,true
50,1,NonlegatoDesc,1,true
50,1,Overtone,1,true
50,2,LegatoAsc,2,true
50,2,LegatoDesc,1,true
50,2,NonlegatoAsc,1,true
50,2,NonlegatoDesc,1,true
50,2,Overtone,2,true
64,1,LegatoAsc,1,false
64,1,LegatoDesc,2,true
64,1,NonlegatoAsc,1,true
64,1,NonlegatoDesc,1,true
64,1,Overtone,5,true
64,2,LegatoAsc,3,false
64,2,LegatoDesc,3,true
64,2,NonlegatoAsc,1,true
64,2,NonlegatoDesc,2,true
64,2,Overtone,5,true
70,1,LegatoAsc,4,false
70,1,LegatoDesc,1,true
70,1,NonlegatoAsc,1,true
70,1,NonlegatoDesc,1,true
70,1,Overtone,2,false
70,2,LegatoAsc,2,false
70,2,LegatoDesc,1,true
70,2,NonlegatoAsc,1,true
70,2,NonlegatoDesc,1,false
70,2,Overtone,1,true
80,1,LegatoAsc,6,false
80,1,LegatoDesc,1,true
80,1,NonlegatoAsc,1,true
80,1,NonlegatoDesc,1,true
80,1,Overtone,2,true
80,2,LegatoAsc,4,true
80,2,LegatoDesc,1,true
80,2,NonlegatoAsc,1,false
80,2,NonlegatoDesc,1,false
80,2,Overtone,2,false
83,1,LegatoAsc,6,false
83,1,LegatoDesc,1,true
83,1,NonlegatoAsc,1,true
83,1,NonlegatoDesc,1,true
83,1,Overtone,1,false
83,2,LegatoAsc,1,false
83,2,LegatoDesc,3,true
83,2,NonlegatoAsc,1,true
83,2,NonlegatoDesc,1,true
83,2,Overtone,2,false
88,1,LegatoAsc,2,false
88,1,LegatoDesc,1,true
88,1,NonlegatoAsc,1,true
88,1,NonlegatoDesc,2,true
88,1,Overtone,2,true
88,2,LegatoAsc,1,false
88,2,LegatoDesc,1,true
88,2,NonlegatoAsc,2,true
88,2,NonlegatoDesc,1,true
88,2,Overtone,1,true
90,1,LegatoAsc,1,true
90,1,LegatoDesc,1,true
90,1,NonlegatoAsc,1,true
90,1,NonlegatoDesc,1,true
90,1,Overtone,2,true
90,2,LegatoAsc,1,false
90,2,LegatoDesc,1,false
90,2,NonlegatoAsc,1,false
90,2,NonlegatoDesc,1,false
90,2,Overtone,3,false
