subject_id,block,success,stability,start,final
13,1,false,,,
13,2,true,attack,1.56,6.0600000000000005
22,1,true,attack,1.7600000000000002,5.0600000000000005
22,2,true,topdown,3.06,6.0600000000000005
27,1,true,attack,1.06,9.06
27,2,true,attack,1.06,7.5600000000000005
33,1,true,topdown,1.56,5.0600000000000005
33,2,false,,,
34,1,true,attack,1.56,5.5600000000000005
34,2,true,attack,1.06,6.0600000000000005
37,1,true,attack,0.56,7.0600000000000005
37,2,true,topdown,0.56,11.56
49,1,true,topdown,5.0600000000000005,11.06
49,2,true,topdown,5.0600000000000005,10.56
50,1,true,topdown,1.06,8.56
50,2,true,topdown,1.56,9.56
64,1,true,attack,1.06,2.36
64,2,true,topdown,2.56,5.0600000000000005
70,1,false,,,
70,2,true,topdown,4.5600000000000005,6.5600000000000005
80,1,true,bottomup,5.0600000000000005,9.06
80,2,false,,,
83,1,false,,,
83,2,false,,,
88,1,true,topdown,1.56,9.56
88,2,true,attack,1.8599999999999999,8.26
90,1,true,bottomup,5.5600000000000005,9.06
90,2,false,,,
