subject,task,success
22,LegatoAsc,FALSE
22,LegatoDesc,TRUE
22,NonlegatoAsc,TRUE
22,NonlegatoDesc,TRUE
22,Overtone,TRUE
13,LegatoAsc,TRUE
13,LegatoDesc,TRUE
13,NonlegatoAsc,TRUE
13,NonlegatoDesc,TRUE
13,Overtone,FALSE
49,LegatoAsc,FALSE
49,LegatoDesc,TRUE
49,NonlegatoAsc,TRUE
49,NonlegatoDesc,TRUE
49,Overtone,TRUE
80,LegatoAsc,TRUE
80,LegatoDesc,TRUE
80,NonlegatoAsc,TRUE
80,NonlegatoDesc,TRUE
80,Overtone,FALSE
27,LegatoAsc,TRUE
27,LegatoDesc,TRUE
27,NonlegatoAsc,TRUE
27,NonlegatoDesc,TRUE
27,Overtone,TRUE
70,LegatoAsc,TRUE
70,LegatoDesc,TRUE
70,NonlegatoAsc,TRUE
70,NonlegatoDesc,TRUE
70,Overtone,FALSE
33,LegatoAsc,TRUE
33,LegatoDesc,TRUE
33,NonlegatoAsc,TRUE
33,NonlegatoDesc,TRUE
33,Overtone,FALSE
90,LegatoAsc,TRUE
90,LegatoDesc,TRUE
90,NonlegatoAsc,TRUE
90,NonlegatoDesc,TRUE
90,Overtone,FALSE
50,LegatoAsc,TRUE
50,LegatoDesc,TRUE
50,NonlegatoAsc,TRUE
50,NonlegatoDesc,TRUE
50,Overtone,TRUE
83,LegatoAsc,FALSE
83,LegatoDesc,TRUE
83,NonlegatoAsc,TRUE
83,NonlegatoDesc,TRUE
83,Overtone,FALSE
34,LegatoAsc,FALSE
34,LegatoDesc,TRUE
34,NonlegatoAsc,TRUE
34,NonlegatoDesc,TRUE
34,Overtone,FALSE
88,LegatoAsc,FALSE
88,LegatoDesc,TRUE
88,NonlegatoAsc,TRUE
88,NonlegatoDesc,TRUE
88,Overtone,TRUE
64,LegatoAsc,FALSE
64,LegatoDesc,TRUE
64,NonlegatoAsc,TRUE
64,NonlegatoDesc,TRUE
64,Overtone,TRUE
37,LegatoAsc,TRUE
37,LegatoDesc,TRUE
37,NonlegatoAsc,TRUE
37,NonlegatoDesc,TRUE
37,Overtone,TRUE
