subject,type,fingering,block,logfile,date
22,Real,Dx4,1,S22_Real_Dx4_3992452793041.log,2025-10-07 11:03:59
22,Model,Dx4,2,S22_Model_Dx4_4918307572666.log,2025-10-07 11:19:24
22,Real,Dx4,3,S22_Real_Dx4_6282674861000.log,2025-10-07 11:42:09
22,Model,Dx4,4,S22_Model_Dx4_6979140825458.log,2025-10-07 11:53:45
13,Real,Dx4,1,S13_Real_Dx4_15291695139500.log,2025-10-07 14:12:18
13,Model,Dx4,2,S13_Model_Dx4_15812276700458.log,2025-10-07 14:20:59
13,Real,Dx4,3,S13_Real_Dx4_16539054340833.log,2025-10-07 14:33:06
13,Model,Dx4,4,S13_Model_Dx4_17024410496333.log,2025-10-07 14:41:11
49,Model,Dx4,1,S49_Model_Dx4_4435121072458.log,2025-10-14 10:55:30
49,Real,Dx4,2,S49_Real_Dx4_5974810920875.log,2025-10-14 11:21:09
49,Model,Dx4,3,S49_Model_Dx4_6932132679708.log,2025-10-14 11:37:07
49,Real,Dx4,4,S49_Real_Dx4_8015774364875.log,2025-10-14 11:55:11
80,Model,Dx4,1,S80_Model_Dx4_3110239112875.log,2025-10-21 10:53:53
80,Real,Dx4,2,S80_Real_Dx4_4142131523041.log,2025-10-21 11:11:05
80,Model,Dx4,3,S80_Model_Dx4_4906697624375.log,2025-10-21 11:23:49
80,Real,Dx4,4,S80_Real_Dx4_5484001366250.log,2025-10-21 11:33:27
27,Real,Dx4,1,S27_Real_Dx4_16428933062916.log,2025-10-21 14:35:52
27,Model,Dx4,2,S27_Model_Dx4_17011507659083.log,2025-10-21 14:45:34
27,Real,Dx4,3,S27_Real_Dx4_17789862297708.log,2025-10-21 14:58:33
27,Model,Dx4,4,S27_Model_Dx4_18241991257750.log,2025-10-21 15:06:05
70,Real,Dx4,1,S70_Real_Dx4_6174518520750.log,2025-10-23 20:19:16
70,Model,Dx4,2,S70_Model_Dx4_6923416055083.log,2025-10-23 20:31:45
70,Real,Dx4,3,S70_Real_Dx4_7952090828708.log,2025-10-23 20:48:54
70,Model,Dx4,4,S70_Model_Dx4_8545379640500.log,2025-10-23 20:58:47
33,Real,Dx4,1,S33_Real_Dx4_2501718412000.log,2025-10-27 10:53:03
33,Model,Dx4,2,S33_Model_Dx4_3432969032750.log,2025-10-27 11:08:34
33,Real,Dx4,3,S33_Real_Dx4_4093687967625.log,2025-10-27 11:19:35
33,Model,Dx4,4,S33_Model_Dx4_4547275803916.log,2025-10-27 11:27:08
90,Model,Dx4,1,S90_Model_Dx4_3669441410041.log,2025-10-30 11:07:28
90,Real,Dx4,2,S90_Real_Dx4_4653764862958.log,2025-10-30 11:23:52
90,Model,Dx4,3,S90_Model_Dx4_5275368884375.log,2025-10-30 11:34:16
90,Real,Dx4,4,S90_Real_Dx4_5882467650041.log,2025-10-30 11:44:23
50,Model,Dx4,1,S50_Model_Dx4_3887004525958.log,2025-10-31 10:30:53
50,Model,Dx4,3,S50_Model_Dx4_5317095258708.log,2025-10-31 10:54:43
50,Real,Dx4,4,S50_Real_Dx4_5651626927458.log,2025-10-31 11:00:18
50,Real,Dx4,2,S50_Real_Dx4_6318396044333.log,2025-10-31 11:11:24
83,Model,Dx4,1,S83_Model_Dx4_3147602892625.log,2025-11-03 12:21:47
83,Real,Dx4,2,S83_Real_Dx4_4048948293625.log,2025-11-03 12:36:48
83,Model,Dx4,3,S83_Model_Dx4_4842127095125.log,2025-11-03 12:50:01
83,Real,Dx4,4,S83_Real_Dx4_5440543415458.log,2025-11-03 13:00:00
34,Real,Dx4,1,S34_Real_Dx4_31403947746041.log,2025-11-03 20:12:43
34,Model,Dx4,2,S34_Model_Dx4_32166631113208.log,2025-11-03 20:25:26
34,Real,Dx4,3,S34_Real_Dx4_32830796867666.log,2025-11-03 20:36:30
34,Model,Dx4,4,S34_Model_Dx4_33290615026708.log,2025-11-03 20:44:10
88,Real,Dx4,1,S88_Real_Dx4_5326453585125.log,2025-11-05 13:40:43
88,Model,Dx4,2,S88_Model_Dx4_5954526998041.log,2025-11-05 13:51:11
88,Real,Dx4,3,S88_Real_Dx4_6889634203750.log,2025-11-05 14:06:46
88,Model,Dx4,4,S88_Model_Dx4_7421303006750.log,2025-11-05 14:15:38
64,Real,Dx4,1,S64_Real_Dx4_24335102376958.log,2025-11-05 18:57:32
64,Model,Dx4,2,S64_Model_Dx4_25115352228000.log,2025-11-05 19:10:32
64,Real,Dx4,3,S64_Real_Dx4_25899601669750.log,2025-11-05 19:23:36
64,Model,Dx4,4,S64_Model_Dx4_26524696643000.log,2025-11-05 19:34:01
37,Model,Dx4,1,S37_Model_Dx4_3377940170250.log,2025-11-11 09:57:46
37,Real,Dx4,2,S37_Real_Dx4_4475958360541.log,2025-11-11 10:16:03
37,Model,Dx4,3,S37_Model_Dx4_4658051891291.log,2025-11-11 10:19:05
37,Real,Dx4,4,S37_Real_Dx4_6677369744541.log,2025-11-11 10:52:45
